GEO_ID,zip_code,household_total,median_household_income,mean_household_income,total_families,median_family_income,mean_family_income,calculated_household_total,not_all_lengths_1
860Z200US15539,15539,136,-,49721,72,-,79049,6762056,Yes
860Z200US15922,15922,28,-,89061,28,-,89061,2493708,Yes
860Z200US24845,24845,116,-,35774,88,36528,44533,4149784,Yes
860Z200US17029,17029,94,62939,60254,94,62939,60254,5663876,Yes
860Z200US17343,17343,95,108145,87125,31,-,N,8276875,Yes
860Z200US17951,17951,141,119931,104371,71,70982,76465,14716311,Yes
860Z200US18820,18820,34,148684,136676,27,148224,123152,4646984,Yes
860Z200US23422,23422,107,-,92245,107,-,92245,9870215,Yes
860Z200US23976,23976,64,18281,13095,0,-,-,838080,Yes
860Z200US24606,24606,59,-,46224,38,-,N,2727216,Yes
860Z200US28581,28581,52,-,83806,52,-,83806,4357912,Yes
860Z200US29665,29665,82,-,41361,33,62375,61718,3391602,Yes
860Z200US29840,29840,153,36784,46997,95,36448,41437,7190541,Yes
860Z200US30751,30751,42,-,31407,42,-,31407,1319094,Yes
860Z200US37719,37719,23,-,48487,12,-,N,1115201,Yes
860Z200US38471,38471,113,42125,45296,113,42125,42655,5118448,Yes
860Z200US39115,39115,55,16403,23844,55,16403,23844,1311420,Yes
860Z200US40939,40939,55,-,38004,35,-,N,2090220,Yes
860Z200US00636,636,296,-,37869,246,-,42473,11209224,Yes
860Z200US01074,1074,157,81681,73366,139,59049,55586,11518462,Yes
860Z200US43902,43902,58,83667,82995,58,83667,82995,4813710,Yes
860Z200US44274,44274,97,120255,115289,97,67245,83401,11183033,Yes
860Z200US01094,1094,31,-,51487,15,79583,77200,1596097,Yes
860Z200US01338,1338,63,57344,59610,28,65441,44807,3755430,Yes
860Z200US12132,12132,98,113382,112790,71,-,83377,11053420,Yes
860Z200US12441,12441,62,47593,46748,35,34323,45049,2898376,Yes
860Z200US45815,45815,29,61750,64710,27,54028,51737,1876590,Yes
860Z200US13113,13113,14,53750,72386,8,110000,95725,1013404,Yes
860Z200US46961,46961,32,38750,40684,16,-,N,1301888,Yes
860Z200US49074,49074,63,-,25476,11,-,N,1604988,Yes
860Z200US49084,49084,12,29643,33467,3,-,N,401604,Yes
860Z200US13153,13153,120,-,76972,89,-,91438,9236640,Yes
860Z200US14061,14061,26,103571,103865,23,104107,111909,2700490,Yes
860Z200US14302,14302,126,"2,500-",4240,0,-,-,534240,Yes
860Z200US49674,49674,41,78365,78239,25,-,102032,3207799,Yes
860Z200US49722,49722,43,79135,77972,38,79615,79274,3352796,Yes
860Z200US24846,24846,104,-,27564,85,"2,500-",30255,2866656,Yes
