GEO_ID,zip_code,median_age,sex_ratio,age_dependency_ratio,undergraduate_students,employment_population_ratio,total_workers,workers_not_from_home,commute_vehicles,median_household_value
860Z200US00601,601,43.7,97.4,64.1,716,29.2,4141,3905,3300,78800
860Z200US00602,602,44.4,96.3,60,2490,34.9,11166,10502,8880,88500
860Z200US00603,603,44.1,94.1,67.7,2841,31.5,12133,11576,10670,121600
860Z200US00606,606,44.9,96,67.3,329,31,1520,1490,1360,96500
860Z200US00610,610,43.5,94.1,61.1,1528,38.5,8567,8252,7185,89900
860Z200US00611,611,47.2,98.3,62.2,46,41.3,437,395,355,119500
860Z200US00612,612,43.5,87.5,72.3,3666,32.8,16880,15985,15250,96000
860Z200US00616,616,45.3,94,51.4,676,36.6,3147,3114,2990,90500
860Z200US00617,617,42.4,90.9,62.9,1480,35,6172,6076,5780,107600
860Z200US00622,622,48.3,69,74.2,162,31.9,2168,2016,1945,105800
860Z200US00623,623,44.5,94.4,66.5,2524,35.9,11779,11129,10310,104300
860Z200US00624,624,40.3,96,63.5,1415,34.4,6067,5918,5495,80900
860Z200US00627,627,43.8,91.1,62.5,1924,36,9983,9711,9525,92000
860Z200US00631,631,46.1,67.6,112,39,23.9,198,198,180,87800
860Z200US00636,636,32.3,107.4,55.5,132,36.2,350,350,350,63300
860Z200US00637,637,44.3,82.9,74,2023,31.7,6068,5939,5245,94300
860Z200US00638,638,44.5,94.9,74.3,657,24.5,3514,3450,3175,86200
860Z200US00641,641,46.1,91.9,68.9,1369,26.3,5503,5307,5070,91000
860Z200US00646,646,42.4,94,60.5,2488,40.7,12224,11224,10250,131500
860Z200US00647,647,44.9,94.2,101.4,291,22.6,911,886,840,81500
860Z200US00650,650,40.5,91,62.7,843,33.8,3937,3905,3465,92600
860Z200US00652,652,47.2,90.6,59.8,211,36,939,913,785,104300
860Z200US00653,653,43.6,97,65.3,284,25.8,1958,1929,1815,78600
